,用户名,弹幕,会员等级,发布时间,弹幕点赞数,弹幕id
0,Simple。,哎？你们都多了一个哈 知道吗 都是假粉丝,0,52,2,6755786223403594557
0,细品岁月,张颜齐,0,52,0,6755799914505598870
0,, 晨艺我来了,0,50,1,6755805575410544849
0,,雷佳音来了,0,50,1,6755851821069304683
0,废材先生不废材, 晨艺跳舞好帅啊,0,50,0,6755853718395221535
0,, 来啦来啦,0,53,0,6755859633195690901
0,A00货车运输王建,困困困困困,6,53,0,6756019856954869510
0,, 勇士又输了,0,50,0,6756034180414941242
0,, 都是VIP说话硬气点,0,50,1,6756051556635971569
0,Empety, 哈哈哈啊哈哈哈哈 来了,0,50,0,6756079000348032028
0,, 来了来了,0,50,0,6756083380670371503
0,,虞书欣我来啦,0,53,0,6756170558380474077
0,, 来了来了，来看王晨艺了,0,52,0,6757484598386954817
0,柚稚,虞书欣姐姐来啦,1,36,13,6755691266521100321
0,, 2021年1月15日 11:49:51,0,36,1,6755692438771401379
0,颜七思睿,哈哈党 : 张颜齐,2,38,9,6755693306384468568
0,,第一☝️,1,35,5,6755693883431255147
0,,集合啦,0,38,3,6755693940909997228
0,, 张颜齐理论,0,38,2,6755694240915979795
0,,哈哈党 : 晨艺我来啦,1,37,12,6755695114905437061
0,希望明天不上火,来了姐妹们,0,37,1,6755695454672057346
0,, 晨艺我来了哈哈哈哈哈,0,36,6,6755696114710024570
0,,欣欣子我来疗,0,35,5,6755697956131153233
0,chenying,王晨艺我来了,0,37,1,6755700290982748643
0,,欣欣宝贝我来啦~,0,37,4,6755700252726200519
0,, 虞书欣 我来了,0,36,5,6755700606264350976
0,,  晨艺我来啦！,0,35,3,6755700806331675974
0,,小齐我来了  因为你特别喜欢重庆！,0,36,3,6755700843167072757
0,,鹿哥,0,36,1,6755701159585366926
0,一飞冲天,唯品会被查,2,39,2,6755706576880994426
0,, 虞书欣我来了,0,37,2,6755705951069158127
0,晨曦, 来了来了,0,38,2,6755707954428839129
0,Tong,CH我来了,0,37,0,6755702274077685748
0,,来了鹿晗！！,0,38,0,6755709303786770292
0,,我大兰州,0,36,1,6755715637890752697
0,, 打卡打卡,0,37,0,6755717810242432690
0,废材先生不废材, 来看晨艺,0,35,4,6755719392304504441
0,,我来了,0,35,0,6755731876812976646
0,梓辞, 欣欣我来了,0,39,2,6755758993291020710
0,꯭一꯭个꯭人꯭ꦿ᭄,鹿🦌,0,39,2,6755763783555590212
0,,年轻人不讲武德，这么早更新，还好我来了，哈哈,0,35,1,6755768240929521424
0,,哈哈哈哈哈哈,0,38,0,6755770820779778032
0,Sandm。,难道我是第一？,0,38,0,6755781560647536575
0,, 张颜齐！！,0,38,0,6755844834385752918
0,莫莫,哈哈党 : 来了来了，来看王晨艺了,0,48,17,6755690818537246655
0,Mr_dzw🐍🐱💗🐯💋💯,爱了,2,49,0,6755692974849856022
0,,每周五的快乐，看鹿晗,4,46,4,6755693605982597274
0,早九晚五。,稀饭你的不准时,1,45,5,6755693596076650282
0,, 这么多人提前守着,0,46,4,6755694459502133003
0,,准点在线,0,48,0,6755696604637314773
0,,来看鹿子,4,47,2,6755699860823322500
0,, 这么多人提前守着,0,49,5,6755700032134459605
0,,  期待晨艺,0,48,1,6755700899609821753
0,,上一期不是南南和鹿晗送外卖吗?为啥是鹿晗和陈赫,0,49,10,6755701072757715255
0,, 来啦,0,49,1,6755703062766581235
0,,期待虞书欣啦,0,46,4,6755705716742800731
0,, 勇士又输了,0,45,1,6755716100434369023
0,我爱睡午觉,来看齐齐啦！,0,47,2,6755718328641591326
0,我爱睡午觉,齐齐我来啦,0,48,4,6755718374304713394
0,,1点50分,0,45,2,6755723002241330563
0,, 来了,0,46,0,6755732706849921126
0,,鹿哥,0,47,1,6755731910233190960
